date	iso_3166-1	iso_3166-2	voivodeship	cases	deaths
2020-04-13	LU	06	lubelskie	6	0
2020-04-14	LU	06	lubelskie	5	0
2020-04-15	LU	06	lubelskie	25	0
2020-04-16	LU	06	lubelskie	9	0
2020-04-17	LU	06	lubelskie	11	0
2020-04-18	LU	06	lubelskie	3	0
2020-04-19	LU	06	lubelskie	15	0
2020-04-20	LU	06	lubelskie	3	0
2020-04-21	LU	06	lubelskie	14	0
2020-04-22	LU	06	lubelskie	7	0
2020-04-23	LU	06	lubelskie	4	0
2020-04-24	LU	06	lubelskie	6	0
2020-04-25	LU	06	lubelskie	4	0
2020-04-26	LU	06	lubelskie	5	2
2020-04-27	LU	06	lubelskie	2	1
2020-04-28	LU	06	lubelskie	3	0
2020-04-29	LU	06	lubelskie	3	0
2020-04-30	LU	06	lubelskie	1	0
2020-05-01	LU	06	lubelskie	5	0
2020-05-02	LU	06	lubelskie	2	0
2020-05-03	LU	06	lubelskie	7	1
2020-05-04	LU	06	lubelskie	0	0
2020-05-05	LU	06	lubelskie	2	0
2020-05-06	LU	06	lubelskie	4	0
2020-05-07	LU	06	lubelskie	1	0
2020-05-08	LU	06	lubelskie	3	0
2020-05-09	LU	06	lubelskie	2	0
2020-05-10	LU	06	lubelskie	2	0
2020-05-11	LU	06	lubelskie	4	0
2020-05-12	LU	06	lubelskie	4	0
2020-05-13	LU	06	lubelskie	2	0
2020-05-14	LU	06	lubelskie	2	0
2020-05-15	LU	06	lubelskie	1	0
2020-05-16	LU	06	lubelskie	0	0
2020-05-17	LU	06	lubelskie	1	0
2020-05-18	LU	06	lubelskie	7	0
2020-05-19	LU	06	lubelskie	0	0
2020-05-20	LU	06	lubelskie	2	0
2020-05-21	LU	06	lubelskie	6	1
2020-05-22	LU	06	lubelskie	3	0
2020-05-23	LU	06	lubelskie	1	0
2020-05-24	LU	06	lubelskie	13	0
2020-05-25	LU	06	lubelskie	12	0
2020-05-26	LU	06	lubelskie	3	0
2020-05-27	LU	06	lubelskie	20	0
2020-05-28	LU	06	lubelskie	16	0
2020-05-29	LU	06	lubelskie	1	0
2020-05-30	LU	06	lubelskie	0	0
2020-05-31	LU	06	lubelskie	7	0
2020-06-01	LU	06	lubelskie	2	0
2020-06-02	LU	06	lubelskie	0	0
2020-06-03	LU	06	lubelskie	8	0
2020-06-04	LU	06	lubelskie	1	0
2020-06-05	LU	06	lubelskie	1	0
2020-06-06	LU	06	lubelskie	3	1
2020-03-04	MA	12	małopolskie	0	0
2020-03-05	MA	12	małopolskie	0	0
2020-03-06	MA	12	małopolskie	0	0
2020-03-07	MA	12	małopolskie	0	0
2020-03-08	MA	12	małopolskie	0	0
2020-03-09	MA	12	małopolskie	1	0
2020-03-10	MA	12	małopolskie	0	0
2020-03-11	MA	12	małopolskie	0	0
2020-03-12	MA	12	małopolskie	0	0
2020-03-13	MA	12	małopolskie	0	0
2020-03-14	MA	12	małopolskie	0	0
2020-03-15	MA	12	małopolskie	0	0
2020-03-16	MA	12	małopolskie	1	0
2020-03-17	MA	12	małopolskie	3	0
2020-03-18	MA	12	małopolskie	1	0
2020-03-19	MA	12	małopolskie	1	0
2020-03-20	MA	12	małopolskie	7	0
2020-03-21	MA	12	małopolskie	2	0
2020-03-22	MA	12	małopolskie	8	0
2020-03-23	MA	12	małopolskie	9	0
2020-03-24	MA	12	małopolskie	16	0
2020-03-25	MA	12	małopolskie	7	0
2020-03-26	MA	12	małopolskie	13	0
2020-03-27	MA	12	małopolskie	24	0
2020-03-28	MA	12	małopolskie	19	0
2020-03-29	MA	12	małopolskie	38	1
2020-03-30	MA	12	małopolskie	24	0
2020-03-31	MA	12	małopolskie	18	0
2020-04-01	MA	12	małopolskie	17	0
2020-04-02	MA	12	małopolskie	21	3
2020-04-03	MA	12	małopolskie	32	1
2020-04-04	MA	12	małopolskie	46	0
2020-04-05	MA	12	małopolskie	19	2
2020-04-06	MA	12	małopolskie	22	0
2020-04-07	MA	12	małopolskie	22	1
2020-04-08	MA	12	małopolskie	28	0
2020-04-09	MA	12	małopolskie	34	0
2020-04-10	MA	12	małopolskie	20	1
2020-04-11	MA	12	małopolskie	33	1
2020-04-12	MA	12	małopolskie	19	1
2020-04-13	MA	12	małopolskie	13	1
2020-04-14	MA	12	małopolskie	19	1
2020-04-15	MA	12	małopolskie	24	2
2020-04-16	MA	12	małopolskie	14	0
2020-04-17	MA	12	małopolskie	21	1
2020-04-18	MA	12	małopolskie	34	0
2020-04-19	MA	12	małopolskie	16	1
2020-04-20	MA	12	małopolskie	33	2
2020-04-21	MA	12	małopolskie	28	1
2020-04-22	MA	12	małopolskie	27	1
2020-04-23	MA	12	małopolskie	32	2
2020-04-24	MA	12	małopolskie	22	2
2020-04-25	MA	12	małopolskie	24	2
2020-04-26	MA	12	małopolskie	9	0
2020-04-27	MA	12	małopolskie	20	2
2020-04-28	MA	12	małopolskie	11	1
2020-04-29	MA	12	małopolskie	24	1
2020-04-30	MA	12	małopolskie	21	0
2020-05-01	MA	12	małopolskie	16	0
2020-05-02	MA	12	małopolskie	21	1
2020-05-03	MA	12	małopolskie	10	0
2020-05-04	MA	12	małopolskie	32	0
2020-05-05	MA	12	małopolskie	21	1
2020-05-06	MA	12	małopolskie	12	0
2020-05-07	MA	12	małopolskie	10	1
2020-05-08	MA	12	małopolskie	14	0
2020-05-09	MA	12	małopolskie	10	1
2020-05-10	MA	12	małopolskie	4	1
2020-05-11	MA	12	małopolskie	24	0
2020-05-12	MA	12	małopolskie	3	0
2020-05-13	MA	12	małopolskie	10	0
2020-05-14	MA	12	małopolskie	24	0
2020-05-15	MA	12	małopolskie	9	0
2020-05-16	MA	12	małopolskie	7	2
2020-05-17	MA	12	małopolskie	4	2
2020-05-18	MA	12	małopolskie	5	0
2020-05-19	MA	12	małopolskie	15	0
2020-05-20	MA	12	małopolskie	2	1
2020-05-21	MA	12	małopolskie	15	0
2020-05-22	MA	12	małopolskie	2	0
2020-05-23	MA	12	małopolskie	4	0
2020-05-24	MA	12	małopolskie	5	0
2020-05-25	MA	12	małopolskie	0	0
2020-05-26	MA	12	małopolskie	3	0
2020-05-27	MA	12	małopolskie	2	0
2020-05-28	MA	12	małopolskie	9	0
2020-05-29	MA	12	małopolskie	9	0
2020-05-30	MA	12	małopolskie	16	0
2020-05-31	MA	12	małopolskie	10	0
2020-06-01	MA	12	małopolskie	6	0
2020-06-02	MA	12	małopolskie	10	0
2020-06-03	MA	12	małopolskie	16	0
2020-06-04	MA	12	małopolskie	21	0
2020-06-05	MA	12	małopolskie	27	0
2020-06-06	MA	12	małopolskie	22	0
2020-03-04	MZ	14	mazowieckie	0	0
2020-03-05	MZ	14	mazowieckie	0	0
2020-03-06	MZ	14	mazowieckie	0	0
2020-03-07	MZ	14	mazowieckie	0	0
2020-03-08	MZ	14	mazowieckie	2	0
2020-03-09	MZ	14	mazowieckie	0	0
2020-03-10	MZ	14	mazowieckie	1	0
2020-03-11	MZ	14	mazowieckie	1	0
2020-03-12	MZ	14	mazowieckie	2	0
2020-03-13	MZ	14	mazowieckie	5	0
2020-03-14	MZ	14	mazowieckie	5	0
2020-03-15	MZ	14	mazowieckie	6	0
2020-03-16	MZ	14	mazowieckie	13	0
2020-03-17	MZ	14	mazowieckie	3	0
2020-03-18	MZ	14	mazowieckie	28	0
2020-03-19	MZ	14	mazowieckie	16	0
